"","Plot","UTM.E","UTM.N","Slope","Aspect","Super.Plot"
"1","PPW1301","526265","4270350","26",0.984807753012208,1
"2","PPW1302","525447","4269576",NA,NA,0
"3","PPW1303","526143","4269065","20",-0.73135370161917,0
"4","PPW1304","525944","4269218","25",-0.933580426497202,0
"5","PPW1305","526058","4269630","34",0.882947592858927,0
"6","PPW1306","526022","4270886","15",0.939692620785908,0
"7","PPW1307","525888","4270668","28.5",0.694658370458997,1
"8","PPW1308","522747","4273140","14",0.978147600733806,0
"9","PPW1309","522830","4273334","10.5",-0.587785252292473,1
"10","PPW1310","522783","4273545","25",0.987688340595138,1
"11","PPW1311","522491","4273327","33",-0.156434465040231,0
"12","PPW1312","522503","4272837","21",0.848048096156426,1
"13","PPW1313","522844","4272670","34",0.809016994374947,0
"14","PPW1314","523238","4272549","23",-0.529919264233205,0
"15","PPW1315","524734","4271564","15",0.92050485345244,1
"16","PPW1316","524769","4271725","34",-0.987688340595138,0
"17","PPW1317","524778","4271596","25",-0.719339800338651,0
"18","PPW1318","524608","4271846","26",-0.90630778703665,0
"19","PPW1319","524509","4271779","21",0.994521895368273,0
"20","PPW1320","524372","4269329","23.5",-0.629320391049837,0
"21","PPW1321","524739","4269591","28.5",-0.719339800338651,1
"22","PPW1322","525084","4269552","8",-0.469471562785891,1
"23","PPW1323","523282","4272416","11.5",-0.190808995376545,0
"24","PPW1324","523801","4272002","14.5",0.913545457642601,1
"25","PPW1325","526466","4270806","15",0.819152044288992,1
"26","PPW1326","525165","4271385","25.5",0.798635510047293,0
"27","PPW1327","522912","4268880","17.5",-0.994521895368273,0
"28","PPW1328","524420","4269661","14",-0.874619707139396,0
"29","PPW1329","524086","4271800",NA,NA,0
"30","PPW1330","523769","4271472","24",0.766044443118978,0
"31","PPW1331","523503","4271813","24",0.891006524188368,0
"32","PPW1332","524968","4271278","24",0.874619707139396,1
"33","PPW1333","525153","4271310","26",-0.838670567945424,0
"34","PPW1334","524885","4271274","29",0.898794046299167,0
"35","PPW1335","525087","4271051","16",0.874619707139396,1
"36","PPW1336","525463","4271059","24",-0.529919264233205,0
"37","PPW1337","526102","4271193","6.5",6.12323399573677e-17,0
"38","PPW1338","524949","4269709","13",-0.777145961456971,1
"39","PPW1339","524901","4269863","28",-0.4067366430758,1
"40","PPW1340","527205","4269284","9.5",-0.90630778703665,1
"41","PPW1341","527127","4269502","14",-0.90630778703665,0
"42","PPW1342","527278","4269582","7",0.422618261740699,0
"43","PPW1343","522956","4273410","26.5",0.99026806874157,0
"44","PPW1344","522872","4272878","24",-0.866025403784439,1
"45","PPW1345","523405","4272225","24",0.207911690817759,0
"46","PPW1346","524575","4270822","24",0.719339800338651,0
"47","PPW1347","523087","4268719","25",0.996194698091746,0
"48","PPW1348","523389","4269026","24",0.838670567945424,0
"49","PPW1349","526499","4270456","11",0.601815023152048,1
"50","PPW1350","523424","4269090","26.5",0.743144825477394,0
